benchmark,run,result
sum-of-cubes,baseline,8
sum-of-cubes,licm,8
is-decreasing,baseline,127
is-decreasing,licm,117
reverse,baseline,46
reverse,licm,46
binary-fmt,baseline,100
binary-fmt,licm,100
rot13,baseline,8
rot13,licm,8
fib_iter,baseline,67
fib_iter,licm,67
gcd,baseline,46
gcd,licm,46
palindrome,baseline,298
palindrome,licm,298
catalan,baseline,659378
catalan,licm,659378
permutation,baseline,130
permutation,licm,118
mod_pow,baseline,243
mod_pow,licm,225
factors,baseline,72
factors,licm,72
digital-root,baseline,247
digital-root,licm,247
sum-check,baseline,5018
sum-check,licm,5018
lcm,baseline,2326
lcm,licm,2071
sum-digits,baseline,219
sum-digits,licm,191
primes-between,baseline,574100
primes-between,licm,449983
up-arrow,baseline,252
up-arrow,licm,234
sum-divisors,baseline,159
sum-divisors,licm,159
pascals-row,baseline,146
pascals-row,licm,125
quadratic,baseline,785
quadratic,licm,577
totient,baseline,253
totient,licm,253
armstrong,baseline,133
armstrong,licm,133
karatsuba,baseline,1548
karatsuba,licm,1510
bbs,baseline,137
bbs,licm,132
delannoy,baseline,5748752
delannoy,licm,5748752
rectangles-area-difference,baseline,14
rectangles-area-difference,licm,14
recfact,baseline,104
recfact,licm,104
euclid,baseline,563
euclid,licm,544
hanoi,baseline,99
hanoi,licm,99
fib_recursive,baseline,2693
fib_recursive,licm,2693
geometric-sum,baseline,35
geometric-sum,licm,35
combination,baseline,178
combination,licm,178
sum-sq-diff,baseline,3038
sum-sq-diff,licm,2640
fact,baseline,229
fact,licm,229
perfect,baseline,232
perfect,licm,232
triangle,baseline,188
triangle,licm,188
orders,baseline,5352
orders,licm,4928
mccarthy91,baseline,1385
mccarthy91,licm,1385
sum-bits,baseline,73
sum-bits,licm,73
mod_inv,baseline,558
mod_inv,licm,486
montgomery,baseline,17
montgomery,licm,17
binpow,baseline,105
binpow,licm,105
fitsinside,baseline,10
fitsinside,licm,10
bitshift,baseline,167
bitshift,licm,167
fizz-buzz,baseline,3652
fizz-buzz,licm,2929
loopfact,baseline,116
loopfact,licm,101
pythagorean_triple,baseline,61518
pythagorean_triple,licm,54015
hamming,baseline,117
hamming,licm,117
gebmm,baseline,3011
gebmm,licm,3011
bitwise-ops,baseline,1690
bitwise-ops,licm,1690
collatz,baseline,169
collatz,licm,169
relative-primes,baseline,1923
relative-primes,licm,1839
sqrt_bin_search,baseline,744
sqrt_bin_search,licm,744
check-primes,baseline,8468
check-primes,licm,7091
ackermann,baseline,1464231
ackermann,licm,1464231
riemann,baseline,298
riemann,licm,291
newton,baseline,217
newton,licm,217
leibniz,baseline,12499997
leibniz,licm,9500003
logistic,baseline,1110
logistic,licm,1110
mandelbrot,baseline,2720947
mandelbrot,licm,2682369
n_root,baseline,733
n_root,licm,733
exponentiation-by-squaring,baseline,187
exponentiation-by-squaring,licm,182
birthday,baseline,484
birthday,licm,399
pow,baseline,36
pow,licm,33
cordic,baseline,517
cordic,licm,468
conjugate-gradient,baseline,1999
conjugate-gradient,licm,1975
euler,baseline,1908
euler,licm,1856
ray-sphere-intersection,baseline,142
ray-sphere-intersection,licm,142
sqrt,baseline,322
sqrt,licm,282
norm,baseline,505
norm,licm,505
ray-bbox-intersection,baseline,33
ray-bbox-intersection,licm,33
